stopTag,stopTitle,stopLat,stopLon
22015,3rd St & C St (WB),38.5442099,-121.74391
22013,B St & 4th St (NB),38.5452799,-121.7449299
22274,Memorial Union (F Line) & Howard Way (NB),38.5436299,-121.74958
22165,Oak Ave & Russell Blvd (NB),38.54664,-121.7526499
22163,Oak Ave & 8th St (NB),38.55103,-121.75261
22161,Oak Ave & Antioch Dr (NB),38.55334,-121.75257
22147,14th St & Oak St (WB),38.5559499,-121.75252
22149,Villanova Dr & Reed Dr (WB),38.5564099,-121.7565599
22153,Anderson Rd & Villanova Dr (NB),38.5565699,-121.75842
22154,Anderson Rd & Hanover Dr (NB),38.5594499,-121.7584
22132,Alvarado Ave & Anderson (EB),38.5619699,-121.75699
22133,Alvarado Ave & Del Rey Ct (EB),38.5616,-121.75289
22126,Catalina Dr & Alvarado Ave (NB),38.5621499,-121.75029
22128,Catalina Dr & Cabrillo Ave (NB),38.5647099,-121.7527299
22127,Catalina Dr & Grande Ave (NB),38.56694,-121.75413
22129,Catalina Dr & Corona Dr (WB),38.5681999,-121.75712
22130,Anderson Rd & Valencia Ave (SB),38.56681,-121.7585399
22131,Anderson Rd & Alvarado Ave (SB),38.5625999,-121.75856
22152,Hanover Dr & Anderson Rd (EB),38.55906,-121.7579199
22151,Hanover Dr & Scripps (NB),38.5595499,-121.75617
22145,Oak Ave & Scripps  (SB),38.5576999,-121.7523499
22148,Oak Ave & 14th St (SB),38.5555599,-121.75242
22162,Oak Ave & Antioch Dr (SB),38.55272,-121.7527799
22164,Oak Ave & 8th St (SB),38.5504399,-121.75285
22166,Oak Ave & Russell Blvd (SB),38.5464899,-121.7529099
22275,Memorial Union (G Line) & Howard Way (NB),38.5437499,-121.74975
22157,Anderson Rd & Amherst Dr (NB),38.5526699,-121.7585
22153,Anderson Rd & Villanova Dr (NB),38.55657,-121.7584199
22134,Alvarado Ave & Anderson (WB),38.5622099,-121.7593699
22136,Alvarado Ave & Sycamore (WB),38.5620999,-121.76325
22139,Sycamore Ln & Pepperwood Apts (NB),38.5631399,-121.76542
22140,Sycamore Ln & Antelope (NB),38.56445,-121.7656099
22142,Sycamore Ln & Chaparral Apts (NB),38.56631,-121.76556
22144,North Sycamore Loop &  (NB),38.5682499,-121.76699
22143,Sycamore Ln & Chaparral Apts (SB),38.5660299,-121.76584
22141,Sycamore Ln & Antelope (SB),38.5643599,-121.7658499
22138,Sycamore Ln & Alvarado (SB),38.56253,-121.76504
22137,Alvarado Ave & Sycamore (EB),38.5619399,-121.76301
22135,Alvarado Ave & Anderson (EB),38.5619999,-121.75955
22155,Anderson Rd & Hanover Dr (SB),38.5585599,-121.75871
22156,Anderson Rd & Villanova Dr (SB),38.55592,-121.7587399
22158,Anderson Rd & Amherst Dr (SB),38.55229,-121.7588099
22159,Anderson Rd & Russell Blvd (SB),38.5472999,-121.75887
22157,Anderson Rd & Amherst Dr (NB),38.55267,-121.7584999
22143,Sycamore Ln & Chaparral Apts (SB),38.56603,-121.7658399
22176,La Rue Rd & Orchard (SB),38.5425099,-121.7608899
22276,Memorial Union (K Line) & Howard Way (SB),38.5436399,-121.7501
22225,Russell Blvd & Arthur St (WB),38.5465499,-121.7710199
22214,Humboldt Ave & Arlington Blvd (EB),38.55332,-121.7789499
22216,Humboldt Ave & Imperial  (EB),38.55276,-121.7760099
22217,Humboldt Ave & Arthur St (EB),38.55281,-121.7711099
22220,Arthur St & North Adams St (SB),38.5516099,-121.77051
22221,Arthur St & Alameda Ave (SB),38.54802,-121.7706799
22356,Adams St & 720 Adams St (NB),38.5497099,-121.76906
22259,North Adams & Arthur (WB),38.5514199,-121.77013
22169,Hutchison Dr & Art Building (EB),38.53919,-121.74837
22000,Hutchison Dr & A St (EB),38.5400299,-121.7460499
22013,B St & 4th St (NB),38.54528,-121.74493
22022,B St & 5th St (NB),38.5469999,-121.74544
22024,B St & 7th St (NB),38.54965,-121.74606
22121,8th St & D St (EB),38.5509299,-121.74401
22119,8th St & G St (EB),38.55142,-121.7412699
22111,8th St & J St (EB),38.5516999,-121.73892
22105,8th St & L St (EB),38.55278,-121.7343599
22102,8th St & Chestnut Ln (EB),38.55329,-121.7303399
22094,Pole Line Rd & 8th St (NB),38.55396,-121.72726
22357,Pole Line Rd & Loyola Dr (NB),38.55616,-121.72732
22092,Pole Line Rd & Claremont Dr (NB),38.5614499,-121.73099
22106,Pole Line Rd & Picasso Ave (NB),38.56436,-121.73086
22260,Pole Line & Donner (NB),38.5666099,-121.73075
22249,Moore Blvd & Pole Line Rd (EB),38.5702599,-121.72919
22294,Moore Blvd & Rockwell (EB),38.5686,-121.72665
22261,Moore Blvd & Raphael (EB),38.56502,-121.7234599
22250,Moore Blvd & Wright Blvd (EB),38.56442,-121.7191699
22081,Monarch Ln & Campbell (SB),38.5626699,-121.7146
22082,Temple Dr & Balsam Pl (WB),38.56198,-121.7171999
22085,Tulip Ln & Cascade Pl (SB),38.55824,-121.71741
22091,Loyola Dr & Regis Dr (WB),38.5579,-121.7203099
22088,Loyola Dr & Nutmeg Ln (WB),38.5577699,-121.723
22087,Loyola Dr & Whittier Dr (WB),38.5575999,-121.72734
22280,Pole Line & Wahl Way (SB),38.5551899,-121.7274799
22281,East 8th Street & Pole Line Road (WB),38.5534299,-121.72763
22103,8th St & Chestnut Ln (WB),38.5535099,-121.7313099
22104,8th St & L St (WB),38.5526699,-121.73544
22110,8th St & J St (WB),38.5519199,-121.739
22118,8th St & G St (WB),38.55159,-121.7412699
22120,8th St & D St (WB),38.5510099,-121.74472
22023,B St & 7th St (SB),38.5489299,-121.74617
22014,B St & 4th St  (SB),38.54505,-121.74513
22001,A St & Hutchison (SB),38.54049,-121.74601
