route,stop,date,boarding,deboarding
E,Memorial Union (E Line) & Howard Way (NB),2012-10-01,175,0
E,F St & Covell Blvd (NB),2012-10-01,59,34
E,3rd St & E St (WB),2012-10-01,8,7
E,B St & 4th St  (SB),2012-10-01,0,1
E,B St & 4th St (NB),2012-10-01,0,2
E,F St & 4th St  (NB),2012-10-01,1,2
E,F St & 14th St (NB),2012-10-01,41,27
E,8th St & G St (WB),2012-10-01,17,0
E,F St & 12th St (NB),2012-10-01,8,10
E,F St & 8th St (NB),2012-10-01,3,31
E,F St & 4th St  (SB),2012-10-01,2,3
E,3rd St & C St (WB),2012-10-01,0,3
E,J St & Menlo Dr (SB),2012-10-01,55,49
E,J St & 8th St (SB),2012-10-01,26,11
E,J St & Alice St (SB),2012-10-01,25,7
E,J St & Drexel Dr (SB),2012-10-01,28,22
E,F St & 5th Street  (NB),2012-10-01,2,3
E,F St & 8th St  (SB),2012-10-01,13,0
E,F St & 5th Street  (NB),2012-10-02,0,3
E,F St & 4th St  (SB),2012-10-02,1,2
E,3rd St & E St (WB),2012-10-02,1,6
E,B St & 4th St (NB),2012-10-02,2,0
E,J St & 8th St (SB),2012-10-02,21,5
E,F St & Covell Blvd (NB),2012-10-02,46,32
E,3rd St & E St (EB),2012-10-02,10,10
E,J St & Drexel Dr (SB),2012-10-02,24,16
E,F St & 8th St (NB),2012-10-02,8,34
E,B St & 4th St  (SB),2012-10-02,1,0
E,J St & Alice St (SB),2012-10-02,23,14
E,F St & 14th St (NB),2012-10-02,22,28
E,F St & 12th St (NB),2012-10-02,4,10
E,F St & 8th St  (SB),2012-10-02,12,1
E,8th St & G St (WB),2012-10-02,18,0
E,Memorial Union (E Line) & Howard Way (NB),2012-10-02,199,0
E,3rd St & C St (EB),2012-10-02,2,3
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-02,0,315
E,F St & 4th St  (NB),2012-10-02,1,3
E,J St & Menlo Dr (SB),2012-10-02,58,57
E,3rd St & C St (WB),2012-10-02,1,2
E,F St & 5th Street  (NB),2012-10-03,1,1
E,J St & Menlo Dr (SB),2012-10-03,61,45
E,B St & 4th St  (SB),2012-10-03,0,4
E,F St & 4th St  (SB),2012-10-03,1,3
E,Memorial Union (E Line) & Howard Way (NB),2012-10-03,177,0
E,F St & 14th St (NB),2012-10-03,31,18
E,3rd St & E St (WB),2012-10-03,0,5
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-03,0,325
E,F St & 4th St  (NB),2012-10-03,4,0
E,J St & Drexel Dr (SB),2012-10-03,28,32
E,F St & 12th St (NB),2012-10-03,8,8
E,8th St & G St (WB),2012-10-03,18,2
E,F St & 8th St (NB),2012-10-03,5,26
E,J St & 8th St (SB),2012-10-03,29,9
E,3rd St & C St (WB),2012-10-03,0,5
E,F St & Covell Blvd (NB),2012-10-03,56,43
E,3rd St & C St (EB),2012-10-03,5,4
E,3rd St & E St (EB),2012-10-03,11,6
E,J St & Alice St (SB),2012-10-03,17,7
E,F St & 8th St  (SB),2012-10-03,24,1
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-04,0,270
E,F St & Covell Blvd (NB),2012-10-04,48,28
E,3rd St & E St (EB),2012-10-04,13,5
E,3rd St & E St (WB),2012-10-04,0,3
E,F St & 12th St (NB),2012-10-04,6,5
E,8th St & G St (WB),2012-10-04,10,2
E,B St & 4th St  (SB),2012-10-04,1,1
E,F St & 8th St  (SB),2012-10-04,5,0
E,J St & Alice St (SB),2012-10-04,21,11
E,F St & 5th Street  (NB),2012-10-04,1,2
E,3rd St & C St (WB),2012-10-04,2,2
E,F St & 8th St (NB),2012-10-04,7,30
E,J St & 8th St (SB),2012-10-04,13,6
E,F St & 14th St (NB),2012-10-04,41,24
E,F St & 4th St  (SB),2012-10-04,0,7
E,J St & Menlo Dr (SB),2012-10-04,61,47
E,3rd St & C St (EB),2012-10-04,1,1
E,F St & 4th St  (NB),2012-10-04,5,0
E,Memorial Union (E Line) & Howard Way (NB),2012-10-04,202,0
E,J St & Drexel Dr (SB),2012-10-04,27,20
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-05,3,265
E,F St & 8th St  (SB),2012-10-05,7,0
E,B St & 4th St  (SB),2012-10-05,1,1
E,F St & 4th St  (SB),2012-10-05,1,11
E,J St & Drexel Dr (SB),2012-10-05,28,29
E,8th St & G St (WB),2012-10-05,24,0
E,J St & Alice St (SB),2012-10-05,18,10
E,F St & Covell Blvd (NB),2012-10-05,43,40
E,F St & 4th St  (NB),2012-10-05,3,5
E,F St & 14th St (NB),2012-10-05,34,44
E,3rd St & C St (WB),2012-10-05,2,4
E,3rd St & C St (EB),2012-10-05,0,7
E,F St & 12th St (NB),2012-10-05,13,10
E,J St & 8th St (SB),2012-10-05,40,17
E,J St & Menlo Dr (SB),2012-10-05,66,73
E,B St & 4th St (NB),2012-10-05,0,1
E,F St & 8th St (NB),2012-10-05,5,32
E,3rd St & E St (EB),2012-10-05,14,31
E,Memorial Union (E Line) & Howard Way (NB),2012-10-05,267,0
E,3rd St & E St (WB),2012-10-05,6,6
E,J St & Drexel Dr (SB),2012-10-08,29,21
E,F St & Covell Blvd (NB),2012-10-08,46,26
E,F St & 8th St  (SB),2012-10-08,9,0
E,F St & 12th St (NB),2012-10-08,9,9
E,3rd St & C St (WB),2012-10-08,1,1
E,J St & 8th St (SB),2012-10-08,37,9
E,F St & 8th St (NB),2012-10-08,4,11
E,F St & 4th St  (NB),2012-10-08,3,3
E,F St & 14th St (NB),2012-10-08,34,22
E,Memorial Union (E Line) & Howard Way (NB),2012-10-08,147,0
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-08,44,272
E,J St & Alice St (SB),2012-10-08,15,8
E,F St & 5th Street  (NB),2012-10-08,0,1
E,B St & 4th St  (SB),2012-10-08,1,0
E,3rd St & E St (EB),2012-10-08,3,5
E,3rd St & E St (WB),2012-10-08,0,3
E,8th St & G St (WB),2012-10-08,15,0
E,J St & Menlo Dr (SB),2012-10-08,65,39
E,B St & 4th St (NB),2012-10-08,0,1
E,F St & 4th St  (SB),2012-10-08,0,5
E,J St & 8th St (SB),2012-10-09,17,3
E,3rd St & C St (WB),2012-10-09,0,4
E,F St & 14th St (NB),2012-10-09,28,32
E,8th St & G St (WB),2012-10-09,31,1
E,J St & Menlo Dr (SB),2012-10-09,70,42
E,J St & Alice St (SB),2012-10-09,18,12
E,3rd St & E St (WB),2012-10-09,3,7
E,F St & 8th St  (SB),2012-10-09,6,0
E,F St & 4th St  (SB),2012-10-09,0,4
E,Memorial Union (E Line) & Howard Way (NB),2012-10-09,180,0
E,F St & 4th St  (NB),2012-10-09,1,1
E,F St & Covell Blvd (NB),2012-10-09,54,21
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-09,7,288
E,3rd St & C St (EB),2012-10-09,2,1
E,3rd St & E St (EB),2012-10-09,6,9
E,F St & 5th Street  (NB),2012-10-09,1,0
E,J St & Drexel Dr (SB),2012-10-09,28,23
E,F St & 12th St (NB),2012-10-09,5,12
